[12:32:27] [ServerMain/INFO]: Environment: authHost='https://authserver.mojang.com', accountsHost='https://api.mojang.com', sessionHost='https://sessionserver.mojang.com', servicesHost='https://api.minecraftservices.com', name='PROD'
[12:32:30] [ServerMain/INFO]: Loaded 7 recipes
[12:32:31] [ServerMain/INFO]: Loaded 1179 advancements
[12:32:33] [Server thread/INFO]: Starting minecraft server version 1.19.4
[12:32:33] [Server thread/INFO]: Loading properties
[12:32:33] [Server thread/INFO]: Default game type: SURVIVAL
[12:32:33] [Server thread/INFO]: Generating keypair
[12:32:33] [Server thread/INFO]: Starting Minecraft server on *:25565
[12:32:33] [Server thread/INFO]: Using default channel type
[12:32:33] [Server thread/INFO]: Preparing level "world"
[12:32:47] [Server thread/INFO]: Preparing start region for dimension minecraft:overworld
[12:32:49] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[12:32:49] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[12:32:49] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[12:32:49] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[12:32:50] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[12:32:50] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[12:32:50] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[12:32:51] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[12:32:51] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[12:32:52] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[12:32:52] [Worker-Main-2/INFO]: Preparing spawn area: 1%
[12:32:53] [Worker-Main-1/INFO]: Preparing spawn area: 1%
[12:32:53] [Worker-Main-1/INFO]: Preparing spawn area: 1%
[12:32:54] [Worker-Main-3/INFO]: Preparing spawn area: 1%
[12:32:54] [Worker-Main-3/INFO]: Preparing spawn area: 1%
[12:32:55] [Worker-Main-2/INFO]: Preparing spawn area: 2%
[12:32:55] [Worker-Main-3/INFO]: Preparing spawn area: 3%
[12:32:56] [Worker-Main-2/INFO]: Preparing spawn area: 3%
[12:32:56] [Worker-Main-1/INFO]: Preparing spawn area: 3%
[12:32:57] [Worker-Main-1/INFO]: Preparing spawn area: 3%
[12:32:57] [Worker-Main-3/INFO]: Preparing spawn area: 4%
[12:32:58] [Worker-Main-2/INFO]: Preparing spawn area: 4%
[12:32:58] [Worker-Main-3/INFO]: Preparing spawn area: 5%
[12:32:59] [Worker-Main-1/INFO]: Preparing spawn area: 6%
[12:32:59] [Worker-Main-2/INFO]: Preparing spawn area: 6%
[12:33:00] [Worker-Main-1/INFO]: Preparing spawn area: 6%
[12:33:00] [Worker-Main-1/INFO]: Preparing spawn area: 7%
[12:33:01] [Worker-Main-2/INFO]: Preparing spawn area: 7%
[12:33:01] [Worker-Main-3/INFO]: Preparing spawn area: 8%
[12:33:02] [Worker-Main-2/INFO]: Preparing spawn area: 9%
[12:33:02] [Worker-Main-2/INFO]: Preparing spawn area: 9%
[12:33:03] [Worker-Main-1/INFO]: Preparing spawn area: 9%
[12:33:04] [Worker-Main-1/INFO]: Preparing spawn area: 9%
[12:33:04] [Worker-Main-3/INFO]: Preparing spawn area: 9%
[12:33:06] [Worker-Main-1/INFO]: Preparing spawn area: 9%
[12:33:06] [Worker-Main-1/INFO]: Preparing spawn area: 9%
[12:33:06] [Worker-Main-1/INFO]: Preparing spawn area: 9%
[12:33:06] [Worker-Main-2/INFO]: Preparing spawn area: 9%
[12:33:07] [Worker-Main-1/INFO]: Preparing spawn area: 10%
[12:33:07] [Worker-Main-3/INFO]: Preparing spawn area: 10%
[12:33:07] [Worker-Main-2/INFO]: Preparing spawn area: 10%
[12:33:08] [Worker-Main-3/INFO]: Preparing spawn area: 10%
[12:33:08] [Worker-Main-2/INFO]: Preparing spawn area: 10%
[12:33:09] [Worker-Main-2/INFO]: Preparing spawn area: 11%
[12:33:09] [Worker-Main-1/INFO]: Preparing spawn area: 12%
[12:33:10] [Worker-Main-2/INFO]: Preparing spawn area: 12%
[12:33:10] [Worker-Main-2/INFO]: Preparing spawn area: 13%
[12:33:11] [Worker-Main-1/INFO]: Preparing spawn area: 14%
[12:33:11] [Worker-Main-2/INFO]: Preparing spawn area: 15%
[12:33:12] [Worker-Main-1/INFO]: Preparing spawn area: 15%
[12:33:12] [Worker-Main-3/INFO]: Preparing spawn area: 16%
[12:33:13] [Worker-Main-2/INFO]: Preparing spawn area: 17%
[12:33:13] [Worker-Main-2/INFO]: Preparing spawn area: 17%
[12:33:14] [Worker-Main-3/INFO]: Preparing spawn area: 18%
[12:33:14] [Worker-Main-3/INFO]: Preparing spawn area: 19%
[12:33:15] [Worker-Main-2/INFO]: Preparing spawn area: 20%
[12:33:15] [Worker-Main-1/INFO]: Preparing spawn area: 20%
[12:33:16] [Worker-Main-2/INFO]: Preparing spawn area: 22%
[12:33:16] [Worker-Main-2/INFO]: Preparing spawn area: 23%
[12:33:17] [Worker-Main-3/INFO]: Preparing spawn area: 24%
[12:33:17] [Worker-Main-1/INFO]: Preparing spawn area: 24%
[12:33:18] [Worker-Main-1/INFO]: Preparing spawn area: 25%
[12:33:18] [Worker-Main-1/INFO]: Preparing spawn area: 25%
[12:33:19] [Worker-Main-3/INFO]: Preparing spawn area: 26%
[12:33:19] [Worker-Main-1/INFO]: Preparing spawn area: 27%
[12:33:20] [Worker-Main-3/INFO]: Preparing spawn area: 27%
[12:33:20] [Worker-Main-3/INFO]: Preparing spawn area: 28%
[12:33:21] [Worker-Main-1/INFO]: Preparing spawn area: 29%
[12:33:21] [Worker-Main-3/INFO]: Preparing spawn area: 30%
[12:33:22] [Worker-Main-2/INFO]: Preparing spawn area: 31%
[12:33:22] [Worker-Main-2/INFO]: Preparing spawn area: 32%
[12:33:23] [Worker-Main-2/INFO]: Preparing spawn area: 33%
[12:33:23] [Worker-Main-3/INFO]: Preparing spawn area: 34%
[12:33:24] [Worker-Main-2/INFO]: Preparing spawn area: 34%
[12:33:24] [Worker-Main-2/INFO]: Preparing spawn area: 35%
[12:33:25] [Worker-Main-1/INFO]: Preparing spawn area: 36%
[12:33:25] [Worker-Main-1/INFO]: Preparing spawn area: 37%
[12:33:26] [Worker-Main-1/INFO]: Preparing spawn area: 37%
[12:33:26] [Worker-Main-1/INFO]: Preparing spawn area: 38%
[12:33:27] [Worker-Main-3/INFO]: Preparing spawn area: 39%
[12:33:27] [Worker-Main-2/INFO]: Preparing spawn area: 40%
[12:33:28] [Worker-Main-2/INFO]: Preparing spawn area: 42%
[12:33:28] [Worker-Main-1/INFO]: Preparing spawn area: 43%
[12:33:29] [Worker-Main-2/INFO]: Preparing spawn area: 44%
[12:33:29] [Worker-Main-2/INFO]: Preparing spawn area: 45%
[12:33:30] [Worker-Main-1/INFO]: Preparing spawn area: 48%
[12:33:30] [Worker-Main-2/INFO]: Preparing spawn area: 48%
[12:33:31] [Worker-Main-3/INFO]: Preparing spawn area: 49%
[12:33:31] [Worker-Main-3/INFO]: Preparing spawn area: 50%
[12:33:32] [Worker-Main-3/INFO]: Preparing spawn area: 53%
[12:33:32] [Worker-Main-3/INFO]: Preparing spawn area: 54%
[12:33:33] [Worker-Main-2/INFO]: Preparing spawn area: 55%
[12:33:33] [Worker-Main-3/INFO]: Preparing spawn area: 56%
[12:33:34] [Worker-Main-2/INFO]: Preparing spawn area: 58%
[12:33:34] [Worker-Main-2/INFO]: Preparing spawn area: 58%
[12:33:35] [Worker-Main-3/INFO]: Preparing spawn area: 59%
[12:33:35] [Worker-Main-2/INFO]: Preparing spawn area: 61%
[12:33:36] [Worker-Main-3/INFO]: Preparing spawn area: 62%
[12:33:36] [Worker-Main-3/INFO]: Preparing spawn area: 63%
[12:33:37] [Worker-Main-1/INFO]: Preparing spawn area: 64%
[12:33:37] [Worker-Main-2/INFO]: Preparing spawn area: 66%
[12:33:38] [Worker-Main-2/INFO]: Preparing spawn area: 67%
[12:33:38] [Worker-Main-3/INFO]: Preparing spawn area: 68%
[12:33:39] [Worker-Main-3/INFO]: Preparing spawn area: 69%
[12:33:39] [Worker-Main-2/INFO]: Preparing spawn area: 70%
[12:33:40] [Worker-Main-1/INFO]: Preparing spawn area: 72%
[12:33:40] [Worker-Main-1/INFO]: Preparing spawn area: 73%
[12:33:41] [Worker-Main-3/INFO]: Preparing spawn area: 74%
[12:33:41] [Worker-Main-2/INFO]: Preparing spawn area: 75%
[12:33:42] [Worker-Main-1/INFO]: Preparing spawn area: 77%
[12:33:42] [Worker-Main-1/INFO]: Preparing spawn area: 79%
[12:33:43] [Worker-Main-1/INFO]: Preparing spawn area: 80%
[12:33:43] [Worker-Main-2/INFO]: Preparing spawn area: 80%
[12:33:44] [Worker-Main-1/INFO]: Preparing spawn area: 81%
[12:33:44] [Worker-Main-3/INFO]: Preparing spawn area: 82%
[12:33:45] [Worker-Main-2/INFO]: Preparing spawn area: 83%
[12:33:45] [Worker-Main-3/INFO]: Preparing spawn area: 83%
[12:33:46] [Worker-Main-1/INFO]: Preparing spawn area: 85%
[12:33:46] [Worker-Main-1/INFO]: Preparing spawn area: 86%
[12:33:49] [Worker-Main-1/INFO]: Preparing spawn area: 87%
[12:33:49] [Worker-Main-3/INFO]: Preparing spawn area: 87%
[12:33:49] [Worker-Main-3/INFO]: Preparing spawn area: 87%
[12:33:49] [Worker-Main-3/INFO]: Preparing spawn area: 87%
[12:33:49] [Worker-Main-3/INFO]: Preparing spawn area: 87%
[12:33:49] [Worker-Main-3/INFO]: Preparing spawn area: 87%
[12:33:50] [Worker-Main-3/INFO]: Preparing spawn area: 87%
[12:33:50] [Worker-Main-2/INFO]: Preparing spawn area: 88%
[12:33:51] [Worker-Main-2/INFO]: Preparing spawn area: 90%
[12:33:51] [Worker-Main-2/INFO]: Preparing spawn area: 92%
[12:33:52] [Worker-Main-1/INFO]: Preparing spawn area: 94%
[12:33:52] [Worker-Main-3/INFO]: Preparing spawn area: 95%
[12:33:53] [Worker-Main-1/INFO]: Preparing spawn area: 97%
[12:33:53] [Worker-Main-3/INFO]: Preparing spawn area: 97%
[12:33:54] [Worker-Main-2/INFO]: Preparing spawn area: 99%
